Prefecture	Municipality	prec_no	block_no	URL	Metric	年間	01	02	03	04	05	06	07	08	09	10	11	12
岩手県	祭畤	33	1028	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=1028&year=&month=&day=&view=	平年降水量(mm)	2164.5	151.1	110.4	135.9	136.8	149.3	196.1	244.8	228.2	244.7	198.1	168.7	188.2
岩手県	好摩	33	1032	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=1032&year=&month=&day=&view=	平年降水量(mm)	1178.5	36.3	38.9	70.3	77.6	92.7	103.5	180.3	167.5	152.8	107.5	85.4	65.7
岩手県	山田	33	1033	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=1033&year=&month=&day=&view=	平年降水量(mm)	1527.1	64.8	54.2	102.7	109.5	133.5	150.3	174.0	182.7	221.8	182.3	75.2	69.9
岩手県	衣川	33	1045	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=1045&year=&month=&day=&view=	平年降水量(mm)	1374.0	63.0	47.7	84.5	90.3	113.1	142.2	193.0	167.9	172.1	134.2	81.3	80.8
岩手県	大野	33	1037	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=1037&year=&month=&day=&view=	平年降水量(mm)	1298.0	58.9	57.5	78.0	75.5	97.6	124.1	164.2	176.8	199.5	146.2	63.3	56.5
岩手県	米里	33	1113	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=1113&year=&month=&day=&view=	平年降水量(mm)	1136.6	47.1	35.7	65.8	79.0	98.4	109.9	168.0	152.0	141.2	106.7	69.7	64.0
岩手県	薮川	33	1078	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=1078&year=&month=&day=&view=	平年降水量(mm)	1405.1	54.5	50.5	83.1	95.2	116.0	115.0	210.7	203.3	160.3	127.2	108.0	84.8
岩手県	葛根田	33	1168	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=1168&year=&month=&day=&view=	平年降水量(mm)	2075.0	90.8	92.4	135.9	144.0	169.3	184.6	305.7	272.8	207.8	167.6	163.0	133.6
岩手県	紫波	33	1128	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=1128&year=&month=&day=&view=	平年降水量(mm)	1267.5	47.7	44.6	79.4	84.8	109.3	119.4	180.5	178.0	154.6	110.3	87.7	71.4
岩手県	普代	33	1123	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=1123&year=&month=&day=&view=	平年降水量(mm)	1430.5	66.6	62.4	88.5	86.0	102.3	144.2	167.1	195.5	224.1	170.1	61.3	64.8
岩手県	住田	33	1206	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=1206&year=&month=&day=&view=	平年降水量(mm)	1365.0	43.1	37.4	90.6	104.3	125.0	143.0	184.2	171.3	187.2	137.5	81.3	57.1
岩手県	山形	33	1219	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=1219&year=&month=&day=&view=	平年降水量(mm)	1133.0	52.5	47.5	66.2	64.5	79.1	92.0	164.5	172.0	160.9	125.0	58.7	62.2
岩手県	奥中山	33	1215	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=1215&year=&month=&day=&view=	平年降水量(mm)	1203.0	51.1	44.6	63.2	66.0	83.7	105.2	182.6	179.0	155.4	117.4	84.2	77.0
岩手県	下戸鎖	33	1332	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=1332&year=&month=&day=&view=	平年降水量(mm)	1358.1	69.5	60.1	82.7	75.5	94.4	109.7	163.0	182.8	219.3	173.3	62.3	64.5
岩手県	荒屋	33	1120	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=1120&year=&month=&day=&view=	平年降水量(mm)	1235.4	60.9	53.1	72.0	66.9	76.6	95.9	171.4	175.3	157.8	119.3	93.3	90.8
岩手県	小本	33	1212	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=1212&year=&month=&day=&view=	平年降水量(mm)	1450.0	61.7	56.3	87.0	90.9	104.7	144.2	171.4	204.0	227.5	167.3	68.6	61.2
岩手県	川井	33	1224	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=1224&year=&month=&day=&view=	平年降水量(mm)	1221.2	46.0	40.7	74.9	85.1	94.0	104.9	158.8	176.7	168.1	131.3	70.6	61.0
岩手県	大東	33	1557	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=1557&year=&month=&day=&view=	平年降水量(mm)	1217.4	44.3	40.6	80.5	107.0	100.4	119.7	174.7	143.4	152.1	125.1	66.4	71.8
岩手県	大槌	33	1508	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=1508&year=&month=&day=&view=	平年降水量(mm)	1498.9	60.7	42.0	101.0	111.7	109.7	143.1	184.5	179.1	215.2	191.0	72.7	80.7
岩手県	区界	33	1447	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=1447&year=&month=&day=&view=	平年降水量(mm)	1517.7	59.3	48.6	98.2	111.1	127.6	130.7	218.7	208.8	177.3	133.5	112.9	89.4
